philh,-2.5695719332486249e+00
philk,-1.4282437387180565e+01
philz,-2.8392965210998961e-01
phill,-8.7440627584621722e-01
philg,1.4044153930053618e-01
philkp,1.4425925499990019e+01
phiyk,-9.1882915914537104e+00
phiyz,4.7738023192667361e-01
phiyl,-5.8293751723081155e-01
phiyg,9.3627692867024132e-02
phiykp,9.6172836666600130e+00
phixk,-4.9536966119099567e+01
phixkp,5.0536966119099560e+01
gammak,9.7712637015021864e-01
gamma0,7.0840331171478491e-02
gamma_z,2.8938160340209757e-02
gamma_taul,-2.9256312875110223e-02
gamma_taux,-3.5393173690688333e-02
gamma_g,2.0773940160660801e-03
