   1.6635639579261113e+01   2.4675716558080713e-01
   1.6491277359637735e+01   2.4537488168877225e-01
   1.6343650448765562e+01   2.4307002602060374e-01
   1.6183154176843551e+01   2.3970091818498288e-01
   1.6003390304579344e+01   2.3359956887382677e-01
   1.5816418472679233e+01   2.3046294916332680e-01
   1.5629602697656487e+01   2.2818937595721250e-01
   1.5455333910916329e+01   2.2611396915114801e-01
   1.5287255608102576e+01   2.2672466252304260e-01
   1.5129948083967843e+01   2.2792205229321838e-01
   1.4979655945697804e+01   2.2830393851307659e-01
   1.4829704851531412e+01   2.2813516683313079e-01
   1.4677645359137594e+01   2.2860130206108778e-01
   1.4532956505469107e+01   2.2871512257833643e-01
   1.4390367543637527e+01   2.2914098520214080e-01
