   9.9752820737765735e-01   8.3524512352839697e-01   1.0000000000000000e+00   1.1145333047723380e-01
   1.0027984419609248e+00   8.3094626708345076e-01   9.9390413213751649e-01   1.1269268931273659e-01
   1.0008982872878385e+00   8.2133994578525460e-01   9.9732047966110160e-01   1.1433652079257831e-01
   9.8570243547570602e-01   8.0106036037039541e-01   1.0193873727858249e+00   1.2465224363908742e-01
   9.8601903348901787e-01   7.7628940781926492e-01   1.0210486271319543e+00   1.3727327865344846e-01
   9.9058211573694166e-01   7.6502744454975824e-01   1.0167326272502646e+00   1.4302438052523619e-01
   9.9754586712434812e-01   7.6227785945895865e-01   1.0055745184192648e+00   1.3958063459236120e-01
   1.0104480709219466e+00   7.4887443794159003e-01   1.0110888781194183e+00   1.3715387389672470e-01
   1.0098084366536686e+00   7.5216886036335795e-01   1.0117672928128332e+00   1.3391339311690559e-01
   1.0126172886143714e+00   7.5368736316321450e-01   1.0162623085908800e+00   1.3185854071307879e-01
   1.0149337823671964e+00   7.5389160809562628e-01   1.0186800164384566e+00   1.3017130143443659e-01
   1.0186446173332100e+00   7.5626622783943154e-01   1.0110369541235487e+00   1.3035039828052117e-01
   1.0106167279820018e+00   7.6736269409275459e-01   1.0036573997254419e+00   1.2451735718983285e-01
   1.0156592557845243e+00   7.6600695937373220e-01   1.0052084507423704e+00   1.2321376297730598e-01
   1.0145549895128514e+00   7.6901253671309078e-01   1.0046997643931250e+00   1.2239823121908695e-01
